ride_id,rider_id,pickup_date,pickup_time,pickup_location,drop_location,fare_amount,trip_distance,wait_time,trip_duration,driver_rating,customer_rating,pickup_datetime,tip_amount,total_amount,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,driver_id,payment_type_Credit Card,payment_type_Debit Card,payment_type_UPI,payment_type_Uber Wallet,payment_type_nan,vehicle_type_Bike,vehicle_type_Go Mini,vehicle_type_Go Sedan,vehicle_type_Premier Sedan,vehicle_type_Uber XL,vehicle_type_eBike,vehicle_type_nan,booking_status_nan,pickup_hour,pickup_day_of_week,pickup_month,is_weekend,is_rush_hour,fare_per_km,fare_per_minute,speed_kmh,profitability_score,should_accept
CNR5640202,CID4424716,2024-08-16,25.826273026261138,Delhi Gate,Keshav Puram,366.0,16.63,14.7,15.7,4.8,4.5,2024-08-16 13:33:38,0,366.0,28.769469796583444,77.07405711428493,28.656280074671397,77.18038548250192,driver_88785,False,False,True,False,False,False,False,False,False,False,False,False,False,13,4,8,0,0,22.00841719732909,23.312100425980866,63.55389724625257,0.2993129687244146,1
CNR3400109,CID2022308,2024-06-20,4.153124976982717,Central Secretariat,Udyog Vihar Phase 4,308.0,35.82,2.2,16.6,3.5,4.1,2024-06-20 19:31:46,0,308.0,28.6962251518637,77.19654630481993,28.626155845123375,77.09584352635159,driver_73246,False,False,True,False,False,True,False,False,False,False,False,False,False,19,3,6,0,1,8.598548056991959,18.554215749746035,129.46941155634377,0.2037621863799283,0
CNR6321208,CID9812945,2024-05-24,17.515951079971142,Nirman Vihar,Karkarduma,433.0,35.41,12.9,24.1,3.9,4.6,2024-05-24 18:22:23,0,433.0,28.52233902462163,77.24736427136362,28.707249616663137,77.10857805524566,driver_43860,False,False,True,False,False,False,False,False,False,False,True,False,False,18,4,5,0,1,12.228183783445814,17.96680423374256,88.15745686940198,0.2025023157325644,0
CNR5896045,CID1249579,2024-07-31,10.752729391112366,Janakpuri,Ashok Vihar,416.0,43.09,8.4,32.2,4.7,4.1,2024-07-31 19:29:12,0,416.0,28.424168298690603,77.3646799672689,28.618319723009662,77.3974477723049,driver_59245,True,False,False,False,False,False,False,False,False,False,False,False,False,19,2,7,0,1,9.654211890132006,12.919254257166015,80.2917758538338,0.1921602070293692,0
CNR6737967,CID6009676,2024-12-11,11.656756883068512,Kirti Nagar,Greater Noida,143.0,13.74,12.4,22.3,4.1,4.9,2024-12-11 19:29:49,0,143.0,28.56472333873438,77.14760707557132,28.6902439152953,77.30893309424344,driver_11931,False,False,False,False,False,False,False,False,False,False,False,False,False,19,2,12,0,1,10.407568383728648,6.412555766253104,36.96851039862673,0.3438114386355209,1
CNR7995342,CID8652735,2024-07-14,15.74848173360797,Jor Bagh,Botanical Garden,857.0,23.79,8.4,35.6,3.2,5.0,2024-07-14 02:49:28,0,857.0,28.794441684641978,77.17765430596336,28.665572578245595,77.26024433145368,driver_9406,False,True,False,False,False,False,False,False,True,False,False,False,False,2,6,7,1,0,36.02353778799757,24.073033031656376,40.095438041396555,0.3049553683196919,1
CNR6949864,CID7987953,2024-05-09,25.22247356268155,Kaushambi,Tagore Garden,363.0,14.32,13.9,39.9,4.3,4.9,2024-05-09 22:22:23,0,363.0,28.334639150566773,77.27321441191006,28.537590797847898,77.3394089116772,driver_69314,True,False,False,False,False,True,False,False,False,False,False,False,False,22,3,5,0,0,25.34916024098043,9.09774413288862,21.533802204808715,0.3703340587130909,1
CNR2602919,CID6795869,2024-02-28,5.888970079026942,Sarai Kale Khan,Mundka,407.0,10.87,4.1,37.7,3.4,4.3,2024-02-28 23:37:10,0,407.0,28.408689102388617,77.23743333945339,28.563899846310296,77.3954285584833,driver_80266,False,False,True,False,False,False,False,True,False,False,False,False,False,23,2,2,0,0,37.4424988553359,10.795755681810194,17.299707215320076,0.5155402162353775,1
CNR8519318,CID7670567,2024-01-05,13.114512266177986,Green Park,Paschim Vihar,752.0,12.1,10.0,31.3,3.7,4.7,2024-01-05 14:54:37,0,752.0,28.50817198996708,77.18726848864681,28.611850851017746,77.33580581410291,driver_91985,False,False,False,True,False,False,False,True,False,False,False,False,False,14,4,1,0,0,62.14875519431776,24.025558337841584,23.194843715954537,0.4977059139784946,1
CNR1025182,CID2056286,2024-03-18,2.7088475552096245,Mehrauli,Tughlakabad,451.0,21.83,5.3,44.8,4.7,4.6,2024-03-18 19:09:01,0,451.0,28.57476968960595,77.0777672342229,28.52367394568285,77.09498045755579,driver_15183,False,False,True,False,False,False,False,False,False,False,True,False,False,19,0,3,0,1,20.65964174715338,10.066964061005269,29.236567986739303,0.2897872377074851,1
CNR8919321,CID4057158,2024-09-21,7.361531470874459,Sarai Kale Khan,Tagore Garden,1563.0,10.06,11.1,40.8,3.8,4.6,2024-09-21 20:09:03,0,1563.0,28.73452127923139,77.25166267073966,28.551460283078036,77.32341971094274,driver_55867,False,False,False,True,False,False,True,False,False,False,False,False,False,20,5,9,1,0,155.36777779644356,38.30882259047004,14.794095891035456,0.6159429973953117,1
CNR1194066,CID1613530,2024-11-29,7.02674160713725,Kirti Nagar,Sonipat,84.0,11.2,6.5,22.9,4.2,4.7,2024-11-29 17:19:37,0,84.0,28.560626061027484,77.06385807199683,28.83656687998892,77.3175493404676,driver_47666,False,False,True,False,False,True,False,False,False,False,False,False,False,17,4,11,0,1,7.499999330357204,3.668122110562354,29.34490127973464,0.3914234221598878,1
CNR2242525,CID5467261,2024-07-27,8.045658837456067,Arjangarh,Paharganj,328.0,21.44,12.0,31.3,3.2,4.5,2024-07-27 18:41:20,0,328.0,28.67727108643375,77.28684024078365,28.51861796120224,77.12807109242429,driver_82792,False,False,False,False,False,False,False,False,False,False,False,False,False,18,5,7,1,1,15.298506749136813,10.479232892037286,41.09896274959217,0.2636085388994307,1
CNR3957099,CID2849300,2024-09-10,14.861462696080924,Azadpur,Mundka,339.0,34.4,8.1,29.6,4.4,3.8,2024-09-10 18:11:29,0,339.0,28.70302984714286,77.35580514878698,28.506181781116737,77.13330375758812,driver_35853,False,False,False,False,False,False,False,False,False,False,False,False,False,18,1,9,0,1,9.85465087631829,11.452702315787082,69.72958838596949,0.1929969711893622,0
CNR9234276,CID3619620,2024-04-25,4.347534641570827,Yamuna Bank,Pataudi Chowk,248.0,26.56,7.4,36.3,4.6,4.3,2024-04-25 13:42:42,0,248.0,28.741171473397127,77.19402420182685,28.455885450232532,77.24683490751804,driver_6348,False,False,False,False,False,False,False,False,False,False,True,False,False,13,3,4,0,0,9.337349046033545,6.831955734656868,43.90075388305143,0.1309903225806451,0
CNR9990884,CID1711461,2024-08-04,3.345961924350359,Vaishali,Saket A Block,1276.0,14.58,2.4,44.1,3.9,4.3,2024-08-04 17:30:55,0,1276.0,28.76797523765168,77.20320812989587,28.72913915314336,77.14579741584114,driver_10531,False,False,True,False,False,False,False,False,False,False,False,False,False,17,6,8,1,1,87.51714077385866,28.934239706706585,19.836707705159583,0.5855369224062773,1
CNR6504993,CID2341433,2024-12-04,6.248730881739948,DLF City Court,Bhiwadi,601.0,48.68,7.7,24.9,3.1,4.3,2024-12-04 21:36:12,0,601.0,28.62195849534936,77.47727734974016,28.457697698529476,77.17549395752845,driver_86114,False,False,True,False,False,True,False,False,False,False,False,False,False,21,2,12,0,0,12.345932367585611,24.136545215399792,117.30092216645262,0.1490684658369316,0
CNR1957446,CID6002492,2024-10-22,13.351360695637844,Saidulajab,Vaishali,157.0,15.9,14.5,20.1,4.8,4.5,2024-10-22 15:24:27,0,157.0,28.602381167122353,77.10044824731746,28.492495706040355,77.11675982236086,driver_9799,False,False,False,False,False,True,False,False,False,False,False,False,False,15,1,10,0,0,9.874213215458289,7.810944885027617,47.46254488792571,0.2262119933829611,0
CNR6141807,CID7335932,2024-01-19,6.616194180043569,Ghitorni,Lok Kalyan Marg,731.0,46.5,6.8,43.6,4.3,4.5,2024-01-19 19:01:33,0,731.0,28.67187593082701,77.3384221361665,28.78409878439344,77.20296460193696,driver_73701,True,False,False,False,False,False,False,False,True,False,False,False,False,19,4,1,0,1,15.720429769453125,16.766054661329022,63.99073762742528,0.247990623291416,0
CNR7885502,CID4561154,2024-04-02,7.70839101096993,Rohini West,Jahangirpuri,491.0,11.67,8.6,37.5,4.6,4.6,2024-04-02 08:19:01,0,491.0,28.48055587172143,77.37117877972639,28.78124980252944,77.31340383443869,driver_36187,False,False,False,False,False,False,False,False,True,False,False,False,False,8,1,4,0,1,42.0736896252194,13.093332984177788,18.6719701248478,0.5550566413662238,1
CNR8230835,CID7978049,2024-09-28,3.7415832013759784,Akshardham,Paharganj,1046.0,31.85,3.4,17.2,4.4,3.3,2024-09-28 06:00:10,0,1046.0,28.46723594620876,77.32939637998837,28.64706416591313,77.32526030609776,driver_88823,True,False,False,False,False,False,True,False,False,False,False,False,False,6,5,9,1,0,32.84144323888718,60.813949952677326,111.10426358977818,0.327952841781874,1
CNR5239384,CID6292594,2024-03-21,11.97101872856355,Bhiwadi,Welcome,263.0,20.23,10.6,26.1,4.3,3.8,2024-03-21 11:40:24,0,263.0,28.737420470099604,77.25673107801407,28.566525477600212,77.26132228101189,driver_39879,False,False,True,False,False,False,True,False,False,False,False,False,False,11,3,3,0,0,13.00049367273882,10.07662796641272,46.50564021691905,0.1560657981803143,0
CNR1206432,CID7769067,2024-11-07,2.6459665523138627,Connaught Place,Qutub Minar,361.0,20.84,3.2,36.8,4.4,4.7,2024-11-07 12:46:08,0,361.0,28.692016679915632,77.23650540307976,28.63710323211516,77.2041575725808,driver_55519,False,False,True,False,False,False,True,False,False,False,False,False,False,12,3,11,0,0,17.32245598260768,9.809782342125482,33.97820547031717,0.2187336742722266,0
CNR4030522,CID4036106,2024-04-29,17.640070701075704,Rohini,Kashmere Gate,198.0,3.44,9.8,31.4,4.7,4.5,2024-04-29 19:12:21,0,198.0,28.48651502198363,77.21053550440104,28.501727862249577,77.18210932700315,driver_90363,False,False,False,False,False,True,False,False,False,False,False,False,False,19,0,4,0,1,57.558122802871274,6.305732283256933,6.573235847320037,0.4500853966870095,1
CNR1882793,CID8692253,2024-10-29,11.392304682896292,Rajouri Garden,Sohna Road,848.0,31.73,8.3,21.7,4.3,4.6,2024-10-29 14:29:34,0,848.0,28.54948833395139,77.15412077111156,28.446054649056837,77.27045318506964,driver_31232,False,False,True,False,False,False,True,False,False,False,False,False,False,14,1,10,0,0,26.725495533391253,39.07833921297976,87.7324763157337,0.245210113994664,0
CNR9456527,CID2909628,2024-02-18,7.836318912366103,Sarojini Nagar,Rajiv Nagar,1213.0,32.97,14.4,40.2,3.7,4.3,2024-02-18 20:37:54,0,1213.0,28.678895786027024,77.2152935951002,28.568364955490676,77.14100200238627,driver_66664,False,False,True,False,False,False,True,False,False,False,False,False,False,20,6,2,1,0,36.791021025446746,30.174128602633616,49.208881777788385,0.2988522281343532,1
CNR4903021,CID3735509,2024-12-03,3.4692185040677237,Saket,Faridabad Sector 15,267.0,39.84,2.1,34.5,4.4,4.7,2024-12-03 14:16:21,0,267.0,28.45913095528312,77.11398773412137,28.65140393829997,77.29148823187994,driver_76650,True,False,False,False,False,False,False,True,False,False,False,False,False,14,1,12,0,0,6.701807060697614,7.739130210459995,69.28683602289388,0.1317515674693321,0
CNR9069789,CID6004509,2024-10-28,19.216559977461745,Kadarpur,Basai Dhankot,144.0,9.91,10.6,24.2,4.6,4.6,2024-10-28 07:55:02,0,144.0,28.492277502932403,77.20502856622215,28.688855246616704,77.29961090307935,driver_73814,False,False,False,False,False,False,False,False,False,False,False,False,False,7,0,10,0,1,14.53077552666241,5.950412977255662,24.57018701606525,0.4784980562448304,1
CNR3059604,CID8874588,2024-10-11,3.949859777496537,Khandsa,ITO,402.0,22.0,3.8,27.5,4.3,4.8,2024-10-11 18:44:02,0,402.0,28.6225547647618,77.26819929944587,28.54022416548629,77.22004545407115,driver_26868,False,False,True,False,False,True,False,False,False,False,False,False,False,18,4,10,0,1,18.2727264421488,14.61818128661159,47.999895272955776,0.2803843108504399,1
CNR9962342,CID3143485,2024-11-24,17.7122951165615,Shastri Park,Nirman Vihar,640.0,8.95,14.0,21.3,4.6,4.2,2024-11-24 13:08:15,0,640.0,28.48502581043803,77.14855738466925,28.57428649390687,77.08263519358196,driver_27064,False,False,False,True,False,True,False,False,False,False,False,False,False,13,6,11,1,0,71.50837189850594,30.046946946152723,25.211196588178623,0.5701786926994906,1
CNR9484859,CID6868166,2024-12-02,14.998109835265463,Pulbangash,Arjangarh,492.0,38.7,8.5,36.3,3.2,4.2,2024-12-02 16:24:30,0,492.0,28.52914873030665,77.24433321495111,28.522936896782916,77.23049663674792,driver_59356,False,False,False,False,False,False,False,True,False,False,False,False,False,16,0,12,0,0,12.713177966067752,13.553718634883786,63.9668364184522,0.1504209080047789,0
CNR8612744,CID9287796,2024-01-29,19.080312040863262,Moolchand,Vidhan Sabha,564.0,47.93,9.9,37.0,3.4,3.2,2024-01-29 18:50:39,0,564.0,28.7497700023628,77.21460132369705,28.78909811098332,77.22821773042186,driver_50187,False,False,True,False,False,False,False,False,False,False,True,False,False,18,0,1,0,1,11.767160196804504,15.243242831263707,77.72419828508386,0.2001764018185754,0
CNR7371459,CID5455014,2024-12-29,17.081018823260788,Udyog Vihar Phase 4,Faridabad Sector 15,122.0,42.13,9.3,40.0,4.4,4.0,2024-12-29 07:10:22,0,122.0,28.663214996253533,77.17149428638355,28.620393397219697,77.23485969632482,driver_73627,True,False,False,False,False,False,False,False,False,False,False,False,False,7,6,12,1,1,2.89579864951819,3.049999923750002,63.19490520764219,0.1578198736747124,0
CNR2635849,CID1045866,2024-01-27,8.069957835615385,Azadpur,Jasola,435.0,11.13,10.5,37.4,4.9,4.2,2024-01-27 10:04:11,0,435.0,28.760662700139576,77.3346956239172,28.672719758935138,77.03663355552892,driver_51889,True,False,False,False,False,True,False,False,False,False,False,False,False,10,5,1,1,0,39.083554439932215,11.631015731791024,17.855586327936376,0.5410451612903225,1
CNR1016771,CID4970145,2024-12-23,12.827722238841512,Adarsh Nagar,Rohini,109.0,10.97,11.2,25.6,3.7,4.2,2024-12-23 15:26:44,0,109.0,28.64414395369679,77.395145022369,28.648873149714497,77.28620310238789,driver_55450,False,False,False,True,False,False,False,False,False,False,False,False,False,15,0,12,0,0,9.936188702261742,4.2578123336792055,25.71087724013147,0.3471287136598964,1
CNR8870913,CID1790517,2024-10-23,12.128617314248734,Anand Vihar,Delhi Gate,227.0,23.82,10.9,33.9,4.3,4.2,2024-10-23 22:19:50,0,227.0,28.6405585030567,77.1557242158473,28.608406223545728,77.09034755865416,driver_92973,False,False,False,False,False,True,False,False,False,False,False,False,False,22,2,10,0,0,9.529806484894774,6.696164994213423,42.15921741731431,0.1219384763643741,0
CNR8104732,CID3371484,2024-10-31,7.898047466576354,Udyog Bhawan,Karkarduma,375.0,16.47,6.9,39.5,4.4,4.0,2024-10-31 09:52:00,0,375.0,28.62461091018115,77.09136644346056,28.564463757069618,77.23786711628401,driver_63796,False,True,False,False,False,False,False,False,False,False,False,False,False,9,3,10,0,1,22.768668927221075,9.493670645729855,25.017683517442755,0.3810184196259149,1
CNR6414054,CID6218580,2024-12-19,12.809906298701597,Ardee City,RK Puram,195.0,48.16,7.9,41.8,3.4,4.2,2024-12-19 19:03:02,0,195.0,28.46571544989187,77.23744111772866,28.692441250979055,77.13635125774496,driver_20897,False,False,True,False,False,False,False,True,False,False,False,False,False,19,3,12,0,1,4.049003238185149,4.665071658730343,69.12908737451572,0.1254209802450612,0
CNR7928630,CID1845426,2024-11-21,24.720639896682897,Tis Hazari,Lok Kalyan Marg,250.0,16.23,14.6,26.5,4.7,4.2,2024-11-21 10:17:17,0,250.0,28.84711177016102,77.36763877065705,28.55592282576926,77.17370816191904,driver_46299,True,False,False,False,False,False,True,False,False,False,False,False,False,10,3,11,0,0,15.403572680001682,9.43396190815238,36.74708661036994,0.2660876234364714,1
CNR7445601,CID9243631,2024-09-21,7.489737695270579,South Extension,Tilak Nagar,884.0,15.24,6.1,25.2,4.0,4.4,2024-09-21 16:33:55,0,884.0,28.517449360673723,77.11111614469286,28.69040057167432,77.23165110082343,driver_30317,False,False,True,False,False,False,True,False,False,False,False,False,False,16,5,9,1,0,58.00524553771355,35.07936368732684,36.28562789136217,0.4694643998837547,1
CNR5780712,CID6608157,2024-03-28,9.482232601463902,Shastri Nagar,Bahadurgarh,471.0,24.98,6.6,20.1,3.8,5.0,2024-03-28 21:53:53,0,471.0,28.65313094168875,76.9619875106355,28.534313898073027,77.26542299866709,driver_48249,False,False,True,False,False,False,False,False,True,False,False,False,False,21,3,3,0,0,18.855083312446624,23.43283465508285,74.56694159121913,0.2068324805339266,0
CNR4065817,CID9793098,2024-01-13,6.034169037095886,South Extension,Subhash Chowk,874.0,33.48,4.1,20.9,3.8,4.8,2024-01-13 19:49:56,0,874.0,28.634947016236065,76.970957846956,28.611083368289822,77.31529696746216,driver_43633,True,False,False,False,False,False,False,False,False,False,True,False,False,19,5,1,1,1,26.105136615736665,41.81817981731197,96.1145566089284,0.3562353775257001,1
CNR1561174,CID4070997,2024-05-17,18.6092746217614,Vatika Chowk,Chhatarpur,214.0,13.95,14.9,20.3,4.2,4.3,2024-05-17 04:43:40,0,214.0,28.515238473228525,77.2482219124715,28.542244654796104,77.09166490669028,driver_51337,True,False,False,False,False,False,False,False,False,False,False,False,False,4,4,5,0,0,15.340500692437228,10.541871401878256,41.23140522737371,0.318404660398768,1
CNR3375396,CID6463493,2024-01-17,15.549520043751208,Janakpuri,Noida Extension,348.0,16.01,9.5,44.5,4.2,4.3,2024-01-17 19:58:29,0,348.0,28.65589846085149,77.2197522509434,28.72123544712573,77.1782732951973,driver_52375,True,False,False,False,False,False,False,False,False,False,False,False,False,19,2,1,0,1,21.736413383109717,7.820224543365741,21.586487748555847,0.3778843715239154,1
CNR2192075,CID3857491,2024-06-14,14.79269014955287,Laxmi Nagar,Barakhamba Road,508.0,35.08,10.4,26.2,4.4,4.9,2024-06-14 19:53:42,0,508.0,28.623411852190223,77.23968303452249,28.72883108537797,77.05419014853646,driver_38906,False,False,True,False,False,False,False,False,False,False,True,False,False,19,4,6,0,1,14.481185448084796,19.38931223704915,80.33569388772392,0.2293062421449518,0
CNR6636194,CID1695978,2024-12-28,11.191625358527531,Satguru Ram Singh Marg,Bhiwadi,635.0,29.92,9.1,35.3,4.9,4.7,2024-12-28 10:51:16,0,635.0,28.571498706874785,77.11379944294386,28.67278625016248,76.99389539536057,driver_28543,True,False,False,False,False,False,True,False,False,False,False,False,False,10,5,12,1,0,21.22326132275196,17.9886680456468,50.85543763948277,0.2614335735529627,1
CNR5282679,CID2545271,2024-08-31,20.82553237856917,Seelampur,Cyber Hub,1131.0,44.48,11.5,28.8,4.8,4.9,2024-08-31 14:03:54,0,1131.0,28.640275640554393,77.26823191593203,28.59824667023826,77.35596799314688,driver_54370,False,False,True,False,False,False,False,False,False,False,False,False,False,14,5,8,1,0,25.427157701727573,39.270831969762774,92.6664736115133,0.2762546432062561,1
CNR9962657,CID8605773,2024-05-22,4.937129466188256,Vasant Kunj,Samaypur Badli,471.0,15.84,4.9,27.0,3.7,4.6,2024-05-22 09:31:10,0,471.0,28.61865794171528,77.38583069741985,28.750029352900818,77.36663073138779,driver_21949,False,False,False,False,False,False,False,False,True,False,False,False,False,9,2,5,0,1,29.734846607648574,17.444443798353934,35.19992177795161,0.4284582763115021,1
CNR7326456,CID6624733,2024-08-17,8.82481200861631,Anand Vihar ISBT,Ardee City,251.0,39.37,5.4,29.1,4.2,3.7,2024-08-17 22:43:10,0,251.0,28.47426389984241,77.28213590979439,28.722185194128627,77.2677353412971,driver_45146,False,False,False,True,False,False,True,False,False,False,False,False,False,22,5,8,1,0,6.375412588889699,8.6254292568581,81.17509036063842,0.1446253101736972,0
CNR5736958,CID4838710,2024-05-27,9.90913995723232,Sikanderpur,Mansarovar Park,361.0,8.66,10.6,37.9,3.6,4.8,2024-05-27 01:50:42,0,361.0,28.50874135951722,77.20059030286023,28.671403719290296,77.21769709804191,driver_61228,False,False,False,True,False,False,False,True,False,False,False,False,False,1,0,5,0,0,41.685907426569585,9.525065711739693,13.70974082890634,0.4905496691480562,1
CNR5378552,CID8693982,2024-01-30,8.052451586107226,New Delhi Railway Station,Tughlakabad,353.0,27.56,4.1,27.8,4.2,4.7,2024-01-30 06:47:32,0,353.0,28.43055204205443,77.18310571128777,28.655573920221187,77.1905394571867,driver_58663,False,False,False,True,False,False,False,False,False,False,False,False,False,6,1,1,0,0,12.808417532350598,12.697841269861824,59.481886010317965,0.1766127968805388,0
CNR2440635,CID2638351,2024-01-12,20.251884678132157,Chhatarpur,South Extension,61.0,14.07,10.9,38.0,4.2,3.4,2024-01-12 11:47:55,0,61.0,28.76601762907552,77.35889729955046,28.6144005944902,77.28483538196815,driver_49121,False,False,False,False,False,False,True,False,False,False,False,False,False,11,4,1,0,0,4.3354652213599705,1.605263115650971,22.21575439617727,0.2153158957192128,0
CNR4581665,CID6620692,2024-01-25,28.301249887075755,Green Park,Tilak Nagar,146.0,20.13,14.5,32.6,4.5,4.6,2024-01-25 21:01:02,0,146.0,28.607817320588683,77.09955881016673,28.54236926947107,77.3604882147501,driver_80030,False,True,False,False,False,True,False,False,False,False,False,False,False,21,3,1,0,0,7.252856072883453,4.4785274699838205,37.04901156623638,0.0932813482216708,0
CNR3252268,CID8052881,2024-10-14,15.200119589956977,Kanhaiya Nagar,Botanical Garden,65.0,49.41,11.1,20.9,5.0,4.7,2024-10-14 07:58:16,0,65.0,28.58533981270721,77.15667976712142,28.515291783205083,77.26906626322278,driver_66738,False,False,False,True,False,False,False,False,False,False,True,False,False,7,0,10,0,1,1.3155231468220372,3.110047698083842,141.84648273737014,0.1068365457824083,0
CNR6466425,CID4373611,2024-04-27,21.291088530640355,Noida Sector 18,Mehrauli,785.0,20.25,12.3,41.5,3.8,3.3,2024-04-27 20:32:26,0,785.0,28.61258048130377,77.28612714366159,28.630564342938452,77.07326650012527,driver_57929,False,False,True,False,False,False,False,False,False,False,False,False,False,20,5,4,1,0,38.7654301844232,18.91566219480332,29.277066105446593,0.3071114115234011,1
CNR2267997,CID6460496,2024-03-30,2.6736667768401405,Nawada,Udyog Bhawan,665.0,45.5,2.3,17.6,3.8,3.9,2024-03-30 08:27:47,0,665.0,28.6171579874794,77.07577889041266,28.475694550306216,77.21764184152642,driver_35212,True,False,False,False,False,False,False,True,False,False,False,False,False,8,5,3,1,1,14.61538429416738,37.78408876226768,155.11310756895148,0.3018415377817057,1
CNR6566916,CID5975866,2024-03-16,6.750564069390601,Bhikaji Cama Place,Vinobapuri,274.0,40.82,4.6,27.9,4.9,4.4,2024-03-16 17:31:50,0,274.0,28.622064470901822,77.32070750405359,28.795703713350832,77.16288832832367,driver_17031,False,False,True,False,False,False,False,False,False,False,False,False,False,17,5,3,1,1,6.712395719931512,9.820788178466374,87.78475745213453,0.2172430107526882,0
